gene_symbol,count
PPP1R12B,4
CSE1L,4
MET,4
MCOLN3,4
UBE2L3,4
IPO9,4
NFIC,4
TMPRSS2,4
UNC13C,4
BACE1,4
RSPH3,4
AP1S2,4
ITPR1,4
ATP2B3,4
UBR2,4
ZFAS1,4
MICAL3,4
ZNF664,4
AP4S1,4
ATXN7L1,4
HS6ST3,4
DHX36,4
HP1BP3,4
TRIM33,4
PRSS23,4
IQCK,4
TRIP11,4
COX15,4
CCSAP,4
GAS5 /// SNORD44 /// SNORD47 /// SNORD74 /// SNORD76 /// SNORD77 /// SNORD79 /// SNORD80 /// SNORD81,4
PDIA6,4
SLC2A4RG,4
CYP1B1,4
TMED3,4
FAM204A,4
RGMB,4
SVIP,4
PEX5L,4
STAU1,4
WDFY2,4
TAP2,4
RP11-731J8.2,4
ST6GALNAC4,4
ZNF326,4
ST3GAL6,4
LOC100507577 /// LONP2,4
RNF24,4
PPP1CB,4
LOC284009 /// METTL16,4
PXK,4
CC2D2A,4
NPC1,4
BHLHE41,4
ATE1,4
ADAM28,4
SIAE,4
ZNF254,4
PPP3CC,4
SLC4A7,4
HSDL2,4
GON4L,4
TNKS,4
GPR89A /// GPR89B,4
SREK1IP1,4
CPT1A,4
JADE1,4
ELL2,4
EFCAB2,4
CCDC93,4
ERGIC2,4
TIMP3,4
URI1,4
SMARCA1,4
LOC101929889 /// SPN,4
TBXA2R,4
UBE2F,4
LRPPRC,4
CDKL3,4
MIR6125 /// USP15,4
FAM86B3P,4
ATP2A2,4
ANGPT2,4
HSP90AA1,4
HHIP,4
MUM1,4
LOC441204,4
USP7,4
ENPP1,4
CD99L2,4
STAB1,4
SLC9A7,4
CAPZB,4
TRO,4
SH2D1A,4
RBM39,4
GGNBP2,4
SSR3,4
CYB5A,4
OSBPL8,4
PPP2R5E,4
DDX11,4
WWP2,4
MVK,4
ZNF93,4
